6	10	5	3	6	6	2	2	2	2	2	2	3	9	2
21	39	18	10	22	21	8	7	8	8	8	6	10	35	5
6	10	9	9	6	8	7	5	3	5	6	4	4	15	4
4	6	10	11	4	7	8	6	3	6	8	5	4	15	4
7	12	6	4	8	7	3	3	5	4	3	3	6	20	3
17	31	17	12	18	18	9	7	8	8	9	6	10	35	5
4	7	11	12	5	7	9	7	3	7	9	5	4	17	5
2	4	5	5	3	4	4	5	2	4	4	5	3	16	4
3	5	4	4	6	4	3	4	9	5	3	4	11	37	4
4	6	9	9	5	6	7	6	4	6	7	5	5	20	4
2	3	5	6	2	4	4	3	2	3	4	3	2	9	3
2	4	4	4	3	3	3	6	3	3	3	7	3	23	6
4	8	6	5	9	7	4	5	13	7	4	6	18	57	5
25	45	36	31	40	35	24	34	43	32	24	38	56	181	32
10	17	17	16	14	14	12	25	14	15	14	31	18	121	26
